Date,Open,High,Low,Close,WeightedPrice,Volume,SMA_30,EMA_40,Altcoin_EMA_40,DASH,DOGE,ETC,ETH,LTC,SC,XEM,XMR,XRP,ZEC,CLF,CNYUSDX,DJI,EURUSDX,GCF,GSPC,IXIC,JPYUSDX,TSLA,VIX,XWDTO,Cost_per_TR,Num_TR_per_Block,Bu_Be_Spread_MA8,SMA_05,SMA_90,EMA_05,EMA_90,MACD,Avg_Dir_Mvmt,RSI,Awesome_Osc,ROC,Stoch_RSI,Ultimate_Osc,True_SI,Cum_Return,Log_Return,Number_of_Transactions,Active_Addresses,New_Addresses,Hash_Rate,sentiment_elon,sentiment_bitcoin
2014-02-26,530.8921525000001,612.22,529.3996525,581.3203575,572.4043438629999,87282.47926749999,682.5656205623417,677.7405320546615,9.10017307751594,0.6414305836894391,0.0010990163402169,0.8856108519062809,10.077158794059624,14.644621695128537,0.0003029306346216,0.0039725784290486,6.724992227512892,0.0076947515265596,277.4195374392584,102.5899963379,0.1635429859,16198.41015625,1.3746082783,1328.1999511719,1845.1600341797,4292.0600585938,0.0097895246,50.5999984741,14.3500003815,30.0299015045,40.6802805238,395.0384615385,0.1143583571428571,563.3494489971,613.6189384022528,559.4678596055185,751.0338507948409,-53.839997745478286,75.87720292801622,38.581847096530346,-132.17400750639706,-5.829355638385902,1.0,54.114166607842684,-38.66633552134465,-30.25102670885682,9.054081624542754,73176.0,201181.0,110785.0,28675.76961,neutral,positive
2014-02-27,585.50416,599.6675,565.185,578.7925475,578.9219640255,27925.86254594,675.6139330761416,672.9201141020194,8.901130183747723,0.6356736841589198,0.001157843928051,0.8856108519062809,10.077158794059624,14.422549737715554,0.0003029306346216,0.0039725784290486,6.724992227512892,0.0076947515265596,277.4195374392584,102.4000015259,0.1635376513,16272.650390625,1.3681949377,1331.5999755859,1854.2900390625,4318.9301757812,0.0097752661,50.5079994202,14.0399999619,30.1982154846,38.0296484691,460.0,0.115204,562.1636259748,613.6189384022528,565.9525610788457,747.2511719647455,-51.12633506987504,74.32864143911645,38.268486261878,-126.10740046963235,-7.487244567682719,0.9818706305461965,58.71632394827373,-36.37036294143,-30.55432273126575,-0.4357875840518055,70859.0,185098.0,95229.0,29478.51454,neutral,positive
2014-02-28,578.01783,585.7325,542.8936,549.0490475,563.259406183,38993.56980111,667.7522600434166,667.5708112767013,8.69859153515845,0.5244001397504349,0.0010701928717476,0.8856108519062809,10.077158794059624,13.721793330380596,0.0003029306346216,0.0039725784290486,6.724992227512892,0.0076947515265596,277.4195374392584,102.5899963379,0.1634414196,16321.7099609375,1.3707455397,1321.4000244141,1859.4499511719,4308.1201171875,0.0097933598,48.9620018005,14.0,30.0299015045,33.5083196514,442.0,0.1143582857142857,551.7505170492,613.6189384022528,565.0548427802305,743.2073968926192,-50.79031063662603,73.04247772439639,34.69746993733844,-129.37471257257346,-11.904074273153196,0.7752708672255286,53.57958228335643,-35.54386808404384,-34.12305821475535,-5.275634166942655,70290.0,196525.0,92184.0,31620.29868,neutral,positive
2014-03-01,547.9225,576.725,534.2375,562.165,556.71097006025,21900.14233666,659.775764122875,662.1630141441914,8.50625598418759,0.8654350385071616,0.0010410495140126,0.8856108519062809,10.077158794059624,13.400662132746383,0.0003029306346216,0.0039725784290486,6.724992227512892,0.0076947515265596,277.4195374392584,102.5899963379,0.1634414196,16321.7099609375,1.3707455397,1321.4000244141,1859.4499511719,4308.1201171875,0.0097933598,48.9620018005,14.0,30.0299015045,33.5083196514,442.0,0.1143582857142857,551.9147737020501,613.6189384022528,562.2735518735703,739.1085743248747,-48.90194986258052,71.90756080298603,37.46850371306373,-122.92658167551474,-9.185844957347426,0.9355879507079846,52.17020364330657,-34.013875357359666,-32.54935757137062,2.360762388182902,63402.0,181719.0,100239.0,27215.3671,neutral,positive
2014-03-02,561.764685,568.88975,551.1685975,562.0329775,560.71884591325,9532.3767843,651.6468628286,657.214518132926,8.324677913611076,0.9219675695813204,0.0009868651688073,0.8856108519062809,10.077158794059624,13.428762177357148,0.0003029306346216,0.0039725784290486,6.724992227512892,0.0076947515265596,277.4195374392584,102.5899963379,0.1634414196,16321.7099609375,1.3707455397,1321.4000244141,1859.4499511719,4308.1201171875,0.0097933598,48.9620018005,14.0,30.0299015045,33.5083196514,442.0,0.1143582857142857,566.4031060089999,613.6189384022528,561.7553165534637,735.1879209531907,-46.87570945713105,70.85370937596211,37.45127665018937,-99.55942538875001,2.320085125315757,0.9345912856722928,54.508003714452926,-32.805674564715225,-32.56519812074674,-0.0234874111587402,56635.0,159491.0,80905.0,26872.26576,neutral,positive
2014-03-03,565.101405,699.7574999999999,561.4364049999999,667.015875,619.03138787975,115915.276158,644.9605964661666,655.3519264132588,8.155426703029832,1.089767616479027,0.0010275921038803,0.8856108519062809,10.077158794059624,13.474289081503793,0.0003029306346216,0.0039725784290486,6.724992227512892,0.0076947515265596,277.4195374392584,104.9199981689,0.1629965305,16168.0302734375,1.3776950836,1350.0999755859,1845.7299804688,4277.2998046875,0.0098711811,50.1119995117,16.0,29.7021389008,27.5489050933,373.0,0.1118211428571428,575.72851481235,613.6189384022528,580.8473403288925,732.6350301164117,-36.37929897471747,67.06641838873198,55.121396906516146,-83.0693222711028,16.783974573564812,1.0,63.02287532661473,-25.115658563481723,-19.968960574129724,17.125331923431464,81264.0,237371.0,123677.0,28209.55635,neutral,positive
2014-03-04,669.9725000000001,698.01,645.0066875,667.1425,673.86428152775,53101.34655838,639.9935814188168,656.2549681261607,8.049617302527748,1.1253533501513424,0.001044489636368,0.8856108519062809,10.077158794059624,16.832604138423605,0.0003029306346216,0.0039725784290486,6.724992227512892,0.0076947515265596,277.4195374392584,103.3300018311,0.1629646569,16395.880859375,1.3737018108,1337.8000488281,1873.9100341797,4351.9702148438,0.0098607661,50.9679985046,14.1000003815,30.3045120239,33.8738561535,567.7852348993,0.1109754285714285,594.7169783127999,613.6189384022528,611.8529873951784,731.3433653122653,-27.730935503029173,63.549648186304,55.13785905965417,-61.48889999169114,10.35803749029489,1.0,56.809286342132246,-19.334004593409528,-19.953767636829244,0.018982004348711,84600.0,232480.0,132656.0,28401.79067,neutral,positive
2014-03-05,666.2474999975,680.4878275000001,645.0475,671.405,663.07870512825,21121.9523086,635.0716384509334,656.5878333457749,7.940785986042679,1.033209238330839,0.0010410335670513,0.8856108519062809,10.077158794059624,16.421475671853674,0.0003029306346216,0.0039725784290486,6.724992227512892,0.0076947515265596,277.4195374392584,101.4499969482,0.1630363762,16360.1796875,1.374117136,1340.1999511719,1873.8100585938,4357.9702148438,0.0097868424,50.5320014954,13.8900003433,30.0830516815,37.2824150016,452.0,0.1101297142857142,614.68083810185,613.6189384022528,628.9282266395356,729.8430431104188,-20.29910160922168,60.284075855478015,55.72659406253239,-37.92762823433827,11.35196095910572,1.0,57.42730547739676,-14.611982224833984,-19.442337072222728,0.6368865368033383,72392.0,202137.0,115201.0,29671.80684,neutral,positive
2014-03-06,670.235,681.6175,652.3175000000001,668.7410325000001,666.64875498825,17507.79986333,630.4049122797834,657.0786100112614,7.844408445083105,1.0078995861791853,0.0010133061075821,0.8856108519062809,10.077158794059624,16.886226296827473,0.0003029306346216,0.0039725784290486,6.724992227512892,0.0076947515265596,277.4195374392584,101.5599975586,0.1631853878,16421.890625,1.373418808,1351.6999511719,1877.0300292969,4352.1298828125,0.0097687738,50.5880012512,14.2100000381,30.1273441315,37.4071565146,452.0,0.1092839999999999,636.66839508745,613.6189384022528,641.5017360891071,728.4541576571842,-14.457621161261727,57.22911490442309,55.23869221408376,-11.601522756397117,24.834988333022217,0.9827575407230342,59.86057002586704,-10.975702171980082,-19.761969776649323,-0.3975642869098017,70527.0,195770.0,110191.0,33163.98813,positive,positive
2014-03-07,669.253225,673.22325,617.8176149999999,633.55512,642.65994073875,38709.43793777,625.1581770630333,656.375260290651,7.740099381714613,1.004239703196593,0.0008483111217751,0.8856108519062809,10.077158794059624,16.113129923768756,0.0003029306346216,0.0039725784290486,6.724992227512892,0.0076947515265596,277.4195374392584,102.5800018311,0.1637036204,16452.720703125,1.3863087893,1338.0999755859,1878.0400390625,4336.2202148438,0.0097057223,49.2420005798,14.1099996567,30.3222236633,45.6733684622,435.813253012,0.1087516071428571,653.05661405255,613.6189384022528,641.8878043056548,726.5685704721636,-12.523056893928356,54.87131726447854,49.121324192742506,10.550733221544078,19.31368247245367,0.7649316690304561,59.210774489799306,-9.578330451716237,-23.983706104173365,-5.404988411643252,72345.0,180961.0,104226.0,31592.75952,positive,positive
