,Date,Bullish,Bearish,Bull_MA_8wk,Bull-BearSpread,Bear_MA_8wk,Bull-BearSpreadMA_8_wk
5860,2003-09-27,0.5519999999999999,0.24112857142857144,0.5718,0.3108714285714286,0.21490714285714285,0.35689285714285707
5861,2003-09-28,0.5416,0.2500428571428571,0.5726125,0.29155714285714285,0.21421071428571428,0.35840178571428566
5862,2003-09-29,0.5312,0.2589571428571429,0.573425,0.2722428571428572,0.2135142857142857,0.35991071428571425
5863,2003-09-30,0.5208,0.2678714285714286,0.5742375,0.25292857142857145,0.21281785714285714,0.36141964285714284
5864,2003-10-01,0.5104,0.2767857142857143,0.57505,0.23361428571428572,0.21212142857142854,0.3629285714285714
5865,2003-10-02,0.5,0.2857,0.5758624999999999,0.21430000000000002,0.21142499999999997,0.36443749999999997
5866,2003-10-03,0.5108285714285714,0.2780714285714286,0.5771160714285714,0.23275714285714288,0.21135892857142854,0.36575714285714284
5867,2003-10-04,0.5216571428571428,0.27044285714285715,0.5783696428571428,0.2512142857142857,0.21129285714285712,0.36707678571428565
5868,2003-10-05,0.5324857142857142,0.2628142857142857,0.5796232142857142,0.2696714285714286,0.2112267857142857,0.3683964285714285
5869,2003-10-06,0.5433142857142857,0.2551857142857143,0.5808767857142857,0.28812857142857146,0.21116071428571428,0.3697160714285714
5870,2003-10-07,0.5541428571428572,0.24755714285714286,0.5821303571428571,0.30658571428571435,0.21109464285714286,0.37103571428571425
5871,2003-10-08,0.5649714285714286,0.23992857142857144,0.5833839285714285,0.3250428571428572,0.21102857142857143,0.37235535714285706
5872,2003-10-09,0.5758,0.2323,0.5846374999999999,0.3435,0.2109625,0.3736749999999999
5873,2003-10-10,0.5797428571428571,0.2188142857142857,0.5841696428571428,0.36092857142857143,0.21011785714285713,0.37405178571428566
5874,2003-10-11,0.5836857142857143,0.20532857142857144,0.5837017857142857,0.3783571428571429,0.20927321428571427,0.3744285714285714
5875,2003-10-12,0.5876285714285714,0.19184285714285715,0.5832339285714285,0.3957857142857143,0.2084285714285714,0.3748053571428571
5876,2003-10-13,0.5915714285714286,0.17835714285714285,0.5827660714285714,0.41321428571428576,0.20758392857142857,0.37518214285714285
5877,2003-10-14,0.5955142857142858,0.16487142857142856,0.5822982142857143,0.43064285714285716,0.2067392857142857,0.3755589285714286
5878,2003-10-15,0.5994571428571429,0.1513857142857143,0.5818303571428571,0.44807142857142856,0.20589464285714285,0.3759357142857143
5879,2003-10-16,0.6034,0.1379,0.5813625,0.4655,0.20504999999999998,0.37631250000000005
5880,2003-10-17,0.5926,0.1420142857142857,0.5806625,0.4505857142857143,0.2039767857142857,0.37668571428571435
5881,2003-10-18,0.5818000000000001,0.14612857142857144,0.5799625,0.4356714285714286,0.2029035714285714,0.3770589285714286
5882,2003-10-19,0.5710000000000001,0.15024285714285715,0.5792625,0.4207571428571429,0.20183035714285713,0.3774321428571429
5883,2003-10-20,0.5602,0.15435714285714286,0.5785625,0.40584285714285717,0.20075714285714286,0.3778053571428571
5884,2003-10-21,0.5494,0.15847142857142857,0.5778625,0.39092857142857146,0.19968392857142858,0.3781785714285714
5885,2003-10-22,0.5386000000000001,0.1625857142857143,0.5771625,0.37601428571428575,0.19861071428571428,0.37855178571428566
5886,2003-10-23,0.5278,0.16670000000000001,0.5764625,0.36110000000000003,0.1975375,0.37892499999999996
5887,2003-10-24,0.5349857142857143,0.16967142857142858,0.5756607142857143,0.36531428571428576,0.19795892857142858,0.3777017857142857
5888,2003-10-25,0.5421714285714286,0.17264285714285715,0.5748589285714286,0.36952857142857143,0.19838035714285715,0.3764785714285714
5889,2003-10-26,0.5493571428571429,0.17561428571428572,0.5740571428571429,0.37374285714285715,0.19880178571428572,0.3752553571428571
5890,2003-10-27,0.5565428571428572,0.1785857142857143,0.5732553571428571,0.3779571428571429,0.1992232142857143,0.37403214285714287
5891,2003-10-28,0.5637285714285715,0.18155714285714286,0.5724535714285715,0.3821714285714286,0.19964464285714287,0.3728089285714286
5892,2003-10-29,0.5709142857142858,0.18452857142857143,0.5716517857142858,0.3863857142857143,0.20006607142857144,0.3715857142857143
5893,2003-10-30,0.5781000000000001,0.1875,0.5708500000000001,0.3906,0.2004875,0.37036250000000004
5894,2003-10-31,0.5777714285714286,0.18452857142857143,0.5707500000000001,0.39324285714285717,0.20035,0.37040000000000006
5895,2003-11-01,0.5774428571428571,0.18155714285714286,0.5706500000000001,0.3958857142857143,0.20021250000000002,0.37043750000000003
5896,2003-11-02,0.5771142857142857,0.1785857142857143,0.5705500000000001,0.39852857142857145,0.200075,0.37047500000000005
5897,2003-11-03,0.5767857142857143,0.17561428571428572,0.57045,0.40117142857142857,0.19993750000000002,0.3705125
5898,2003-11-04,0.5764571428571429,0.17264285714285715,0.57035,0.40381428571428574,0.1998,0.37055000000000005
5899,2003-11-05,0.5761285714285714,0.16967142857142858,0.57025,0.40645714285714285,0.19966250000000002,0.3705875
5900,2003-11-06,0.5758,0.16670000000000001,0.57015,0.4091,0.199525,0.37062500000000004
5901,2003-11-07,0.5697285714285714,0.16351428571428572,0.5684678571428572,0.40621428571428575,0.19860178571428572,0.3698660714285715
5902,2003-11-08,0.5636571428571429,0.16032857142857143,0.5667857142857143,0.4033285714285714,0.19767857142857143,0.36910714285714286
5903,2003-11-09,0.5575857142857142,0.15714285714285714,0.5651035714285715,0.40044285714285716,0.19675535714285713,0.3683482142857143
5904,2003-11-10,0.5515142857142857,0.15395714285714288,0.5634214285714285,0.3975571428571429,0.19583214285714287,0.3675892857142857
5905,2003-11-11,0.5454428571428571,0.15077142857142858,0.5617392857142857,0.3946714285714286,0.19490892857142858,0.3668303571428571
5906,2003-11-12,0.5393714285714286,0.1475857142857143,0.5600571428571428,0.3917857142857143,0.1939857142857143,0.3660714285714285
5907,2003-11-13,0.5333,0.1444,0.558375,0.3889,0.1930625,0.36531249999999993
5908,2003-11-14,0.5331571428571429,0.15372857142857144,0.5576517857142856,0.37942857142857145,0.19281964285714284,0.36483214285714277
5909,2003-11-15,0.5330142857142857,0.16305714285714284,0.5569285714285714,0.3699571428571429,0.19257678571428571,0.36435178571428567
5910,2003-11-16,0.5328714285714286,0.17238571428571428,0.5562053571428571,0.3604857142857143,0.19233392857142856,0.3638714285714285
5911,2003-11-17,0.5327285714285714,0.18171428571428572,0.5554821428571428,0.3510142857142857,0.19209107142857143,0.3633910714285714
5912,2003-11-18,0.5325857142857143,0.19104285714285713,0.5547589285714285,0.34154285714285715,0.19184821428571427,0.36291071428571425
5913,2003-11-19,0.5324428571428571,0.20037142857142856,0.5540357142857143,0.3320714285714286,0.19160535714285715,0.36243035714285715
5914,2003-11-20,0.5323,0.2097,0.5533125,0.3226,0.1913625,0.36195
5915,2003-11-21,0.5425142857142857,0.20938571428571429,0.5551660714285714,0.33312857142857144,0.18996607142857141,0.36519999999999997
5916,2003-11-22,0.5527285714285715,0.20907142857142857,0.5570196428571428,0.3436571428571429,0.18856964285714287,0.36845
5917,2003-11-23,0.5629428571428572,0.20875714285714286,0.5588732142857142,0.3541857142857143,0.1871732142857143,0.3717
5918,2003-11-24,0.5731571428571428,0.20844285714285715,0.5607267857142857,0.3647142857142857,0.1857767857142857,0.37494999999999995
5919,2003-11-25,0.5833714285714285,0.20812857142857144,0.5625803571428571,0.37524285714285716,0.18438035714285714,0.3781999999999999
5920,2003-11-26,0.5935857142857143,0.20781428571428573,0.5644339285714285,0.3857714285714286,0.1829839285714286,0.38144999999999996
5921,2003-11-27,0.6038,0.20750000000000002,0.5662874999999999,0.39630000000000004,0.1815875,0.38469999999999993
5922,2003-11-28,0.6166428571428572,0.19844285714285717,0.5683928571428571,0.4182,0.18001250000000002,0.38838035714285707
5923,2003-11-29,0.6294857142857143,0.1893857142857143,0.5704982142857142,0.44010000000000005,0.1784375,0.39206071428571426
5924,2003-11-30,0.6423285714285715,0.18032857142857145,0.5726035714285714,0.462,0.1768625,0.3957410714285714
5925,2003-12-01,0.6551714285714285,0.17127142857142857,0.5747089285714285,0.4839,0.1752875,0.39942142857142854
5926,2003-12-02,0.6680142857142857,0.16221428571428573,0.5768142857142857,0.5058,0.17371250000000002,0.4031017857142857
5927,2003-12-03,0.6808571428571428,0.15315714285714288,0.5789196428571428,0.5277000000000001,0.1721375,0.40678214285714287
5928,2003-12-04,0.6937,0.1441,0.581025,0.5496,0.1705625,0.4104625
5929,2003-12-05,0.6735428571428571,0.1535857142857143,0.5801178571428571,0.5199571428571428,0.17185892857142857,0.4082589285714286
5930,2003-12-06,0.6533857142857142,0.1630714285714286,0.5792107142857142,0.4903142857142857,0.17315535714285715,0.4060553571428571
5931,2003-12-07,0.6332285714285715,0.17255714285714288,0.5783035714285714,0.46067142857142857,0.1744517857142857,0.4038517857142857
5932,2003-12-08,0.6130714285714286,0.18204285714285717,0.5773964285714286,0.4310285714285714,0.1757482142857143,0.40164821428571423
5933,2003-12-09,0.5929142857142857,0.19152857142857144,0.5764892857142857,0.4013857142857143,0.17704464285714286,0.3994446428571428
5934,2003-12-10,0.5727571428571429,0.20101428571428573,0.5755821428571428,0.37174285714285715,0.17834107142857145,0.39724107142857135
5935,2003-12-11,0.5526,0.21050000000000002,0.5746749999999999,0.3421,0.1796375,0.39503749999999993
5936,2003-12-12,0.5596571428571429,0.20812857142857144,0.576,0.35152857142857147,0.1801232142857143,0.39587678571428564
5937,2003-12-13,0.5667142857142857,0.2057571428571429,0.577325,0.36095714285714287,0.18060892857142857,0.3967160714285714
5938,2003-12-14,0.5737714285714286,0.2033857142857143,0.57865,0.3703857142857143,0.18109464285714286,0.3975553571428571
5939,2003-12-15,0.5808285714285714,0.20101428571428573,0.579975,0.3798142857142857,0.18158035714285717,0.3983946428571429
5940,2003-12-16,0.5878857142857142,0.19864285714285715,0.5813,0.38924285714285717,0.18206607142857145,0.3992339285714286
5941,2003-12-17,0.5949428571428571,0.1962714285714286,0.5826250000000001,0.39867142857142857,0.18255178571428574,0.40007321428571435
5942,2003-12-18,0.602,0.19390000000000002,0.5839500000000001,0.4081,0.18303750000000002,0.40091250000000006
5943,2003-12-19,0.60865,0.1912125,0.5851546875000001,0.4174375,0.18280156250000001,0.40235312500000003
5944,2003-12-20,0.6153,0.188525,0.586359375,0.426775,0.182565625,0.40379375
5945,2003-12-21,0.62195,0.18583750000000002,0.5875640625,0.4361125,0.1823296875,0.405234375
5946,2003-12-22,0.6286,0.18315,0.5887687500000001,0.44545,0.18209375,0.406675
5947,2003-12-23,0.63525,0.1804625,0.5899734375,0.4547875,0.18185781250000002,0.408115625
5948,2003-12-24,0.6419,0.17777500000000002,0.591178125,0.464125,0.18162187500000002,0.40955624999999996
5949,2003-12-25,0.64855,0.1750875,0.5923828124999999,0.4734625,0.1813859375,0.41099687499999993
5950,2003-12-26,0.6552,0.1724,0.5935874999999999,0.4828,0.18115,0.4124374999999999
5951,2003-12-27,0.6500166666666667,0.16613333333333333,0.5945937499999999,0.48388333333333333,0.18048541666666668,0.41410833333333325
5952,2003-12-28,0.6448333333333334,0.15986666666666666,0.5955999999999999,0.48496666666666666,0.17982083333333335,0.4157791666666666
5953,2003-12-29,0.63965,0.15360000000000001,0.59660625,0.48605,0.17915625000000002,0.41744999999999993
5954,2003-12-30,0.6344666666666666,0.14733333333333334,0.5976125,0.48713333333333336,0.17849166666666666,0.4191208333333333
5955,2003-12-31,0.6292833333333333,0.14106666666666667,0.59861875,0.4882166666666667,0.17782708333333333,0.4207916666666666
5956,2004-01-01,0.6241,0.1348,0.599625,0.4893,0.1771625,0.42246249999999996
5957,2004-01-02,0.6308857142857143,0.14112857142857144,0.6020946428571429,0.4897571428571429,0.17778214285714286,0.4243125
5958,2004-01-03,0.6376714285714286,0.14745714285714287,0.6045642857142857,0.4902142857142857,0.17840178571428572,0.42616249999999994
5959,2004-01-04,0.6444571428571428,0.1537857142857143,0.6070339285714286,0.4906714285714286,0.17902142857142858,0.42801249999999996
5960,2004-01-05,0.6512428571428572,0.1601142857142857,0.6095035714285714,0.49112857142857147,0.17964107142857144,0.4298625
5961,2004-01-06,0.6580285714285715,0.16644285714285714,0.6119732142857143,0.49158571428571435,0.1802607142857143,0.4317125
5962,2004-01-07,0.6648142857142858,0.17277142857142858,0.6144428571428571,0.49204285714285717,0.18088035714285716,0.43356249999999996
5963,2004-01-08,0.6716000000000001,0.1791,0.6169125,0.49250000000000005,0.18150000000000002,0.4354125
5964,2004-01-09,0.670357142857143,0.16795714285714286,0.6192446428571429,0.5024000000000001,0.1795607142857143,0.4396839285714286
5965,2004-01-10,0.6691142857142858,0.1568142857142857,0.6215767857142857,0.5123000000000001,0.1776214285714286,0.4439553571428571
5966,2004-01-11,0.6678714285714287,0.14567142857142856,0.6239089285714285,0.5222000000000001,0.17568214285714287,0.4482267857142857
5967,2004-01-12,0.6666285714285715,0.13452857142857144,0.6262410714285714,0.5321,0.17374285714285717,0.4524982142857143
5968,2004-01-13,0.6653857142857144,0.12338571428571429,0.6285732142857143,0.542,0.17180357142857144,0.4567696428571429
5969,2004-01-14,0.6641428571428571,0.11224285714285714,0.6309053571428571,0.5519000000000001,0.16986428571428575,0.4610410714285714
5970,2004-01-15,0.6629,0.10110000000000001,0.6332375,0.5618000000000001,0.16792500000000002,0.4653125
5971,2004-01-16,0.6675000000000001,0.10581428571428572,0.6348678571428572,0.5616857142857143,0.16661428571428574,0.46825357142857144
5972,2004-01-17,0.6721,0.11052857142857143,0.6364982142857143,0.5615714285714286,0.16530357142857144,0.4711946428571429
5973,2004-01-18,0.6767000000000001,0.11524285714285715,0.6381285714285715,0.5614571428571429,0.16399285714285716,0.4741357142857143
5974,2004-01-19,0.6813,0.11995714285714286,0.6397589285714286,0.5613428571428573,0.16268214285714286,0.47707678571428574
5975,2004-01-20,0.6859000000000001,0.12467142857142857,0.6413892857142858,0.5612285714285715,0.16137142857142858,0.48001785714285716
5976,2004-01-21,0.6905,0.12938571428571427,0.6430196428571429,0.5611142857142858,0.16006071428571428,0.48295892857142864
5977,2004-01-22,0.6951,0.1341,0.6446500000000001,0.561,0.15875,0.48590000000000005
5978,2004-01-23,0.6770571428571429,0.13637142857142856,0.6424196428571429,0.5406857142857143,0.15885535714285715,0.4835642857142857
5979,2004-01-24,0.6590142857142858,0.13864285714285715,0.6401892857142857,0.5203714285714286,0.1589607142857143,0.48122857142857145
5980,2004-01-25,0.6409714285714285,0.14091428571428571,0.6379589285714286,0.5000571428571429,0.15906607142857143,0.4788928571428571
5981,2004-01-26,0.6229285714285714,0.14318571428571428,0.6357285714285714,0.47974285714285714,0.15917142857142857,0.47655714285714285
5982,2004-01-27,0.6048857142857142,0.14545714285714284,0.6334982142857143,0.4594285714285714,0.15927678571428572,0.4742214285714285
5983,2004-01-28,0.5868428571428571,0.14772857142857143,0.631267857142857,0.43911428571428573,0.15938214285714286,0.47188571428571424
5984,2004-01-29,0.5688,0.15,0.6290374999999999,0.4188,0.1594875,0.4695499999999999
5985,2004-01-30,0.5602714285714285,0.15974285714285713,0.6282607142857142,0.40052857142857146,0.15962500000000002,0.4686357142857142
5986,2004-01-31,0.5517428571428571,0.1694857142857143,0.6274839285714285,0.38225714285714285,0.1597625,0.4677214285714285
5987,2004-02-01,0.5432142857142856,0.17922857142857143,0.6267071428571428,0.3639857142857143,0.15990000000000001,0.4668071428571428
5988,2004-02-02,0.5346857142857143,0.18897142857142857,0.6259303571428572,0.3457142857142857,0.1600375,0.46589285714285716
5989,2004-02-03,0.5261571428571429,0.19871428571428573,0.6251535714285714,0.32744285714285715,0.160175,0.46497857142857146
5990,2004-02-04,0.5176285714285714,0.20845714285714287,0.6243767857142858,0.30917142857142854,0.1603125,0.46406428571428576
5991,2004-02-05,0.5091,0.2182,0.6236,0.2909,0.16045,0.46315000000000006
5992,2004-02-06,0.5165142857142857,0.20792857142857143,0.6228678571428572,0.3085857142857143,0.15960000000000002,0.4632678571428572
5993,2004-02-07,0.5239285714285714,0.19765714285714286,0.6221357142857143,0.32627142857142855,0.15875,0.46338571428571435
5994,2004-02-08,0.5313428571428571,0.1873857142857143,0.6214035714285715,0.34395714285714285,0.1579,0.46350357142857146
5995,2004-02-09,0.5387571428571429,0.17711428571428572,0.6206714285714285,0.36164285714285715,0.15705000000000002,0.4636214285714286
5996,2004-02-10,0.5461714285714286,0.16684285714285715,0.6199392857142857,0.37932857142857146,0.15620000000000003,0.4637392857142857
5997,2004-02-11,0.5535857142857143,0.15657142857142858,0.6192071428571428,0.3970142857142857,0.15535000000000002,0.46385714285714286
5998,2004-02-12,0.561,0.1463,0.618475,0.4147,0.15450000000000003,0.46397499999999997
5999,2004-02-13,0.5615,0.15535714285714286,0.6168553571428571,0.40614285714285714,0.15516607142857144,0.4616892857142857
6000,2004-02-14,0.562,0.16441428571428574,0.6152357142857143,0.3975857142857143,0.1558321428571429,0.4594035714285714
6001,2004-02-15,0.5625,0.17347142857142858,0.6136160714285714,0.38902857142857145,0.1564982142857143,0.45711785714285713
6002,2004-02-16,0.5630000000000001,0.18252857142857143,0.6119964285714286,0.38047142857142857,0.15716428571428573,0.45483214285714285
6003,2004-02-17,0.5635,0.1915857142857143,0.6103767857142857,0.3719142857142857,0.15783035714285715,0.45254642857142857
6004,2004-02-18,0.5640000000000001,0.20064285714285715,0.6087571428571429,0.3633571428571429,0.1584964285714286,0.4502607142857143
6005,2004-02-19,0.5645,0.2097,0.6071375,0.3548,0.1591625,0.447975
6006,2004-02-20,0.5432571428571429,0.22335714285714287,0.6034178571428571,0.3199,0.16220714285714286,0.4412107142857143
6007,2004-02-21,0.5220142857142858,0.2370142857142857,0.5996982142857143,0.28500000000000003,0.16525178571428573,0.4344464285714286
6008,2004-02-22,0.5007714285714285,0.25067142857142855,0.5959785714285715,0.2501,0.16829642857142857,0.4276821428571429
6009,2004-02-23,0.4795285714285714,0.2643285714285714,0.5922589285714286,0.2152,0.17134107142857144,0.4209178571428572
6010,2004-02-24,0.4582857142857143,0.2779857142857143,0.5885392857142857,0.18030000000000002,0.17438571428571428,0.41415357142857145
6011,2004-02-25,0.4370428571428572,0.29164285714285715,0.5848196428571429,0.1454,0.17743035714285715,0.4073892857142858
6012,2004-02-26,0.4158,0.3053,0.5811000000000001,0.1105,0.180475,0.40062500000000006
6013,2004-02-27,0.42472857142857146,0.28031428571428574,0.5776482142857143,0.14441428571428572,0.17960535714285714,0.3980428571428572
6014,2004-02-28,0.43365714285714285,0.25532857142857146,0.5741964285714286,0.17832857142857145,0.17873571428571428,0.39546071428571433
6015,2004-02-29,0.4425857142857143,0.23034285714285715,0.5707446428571429,0.21224285714285718,0.17786607142857142,0.39287857142857147
6016,2004-03-01,0.4515142857142857,0.20535714285714288,0.5672928571428572,0.2461571428571429,0.17699642857142858,0.39029642857142854
6017,2004-03-02,0.46044285714285715,0.1803714285714286,0.5638410714285714,0.28007142857142864,0.17612678571428572,0.3877142857142857
6018,2004-03-03,0.46937142857142855,0.1553857142857143,0.5603892857142857,0.3139857142857143,0.17525714285714286,0.3851321428571428
6019,2004-03-04,0.4783,0.13040000000000002,0.5569375,0.34790000000000004,0.1743875,0.38254999999999995
6020,2004-03-05,0.46895714285714285,0.1597,0.5524732142857143,0.3092571428571429,0.1785732142857143,0.37389999999999995
6021,2004-03-06,0.45961428571428575,0.189,0.5480089285714286,0.27061428571428575,0.18275892857142859,0.36524999999999996
6022,2004-03-07,0.4502714285714286,0.21830000000000002,0.5435446428571429,0.2319714285714286,0.18694464285714285,0.3565999999999999
6023,2004-03-08,0.44092857142857145,0.24760000000000001,0.5390803571428571,0.19332857142857146,0.19113035714285714,0.3479499999999999
6024,2004-03-09,0.4315857142857143,0.27690000000000003,0.5346160714285714,0.15468571428571432,0.19531607142857144,0.33929999999999993
6025,2004-03-10,0.4222428571428572,0.3062,0.5301517857142857,0.11604285714285717,0.19950178571428573,0.33064999999999994
6026,2004-03-11,0.41290000000000004,0.3355,0.5256875,0.07740000000000001,0.20368750000000002,0.32199999999999995
6027,2004-03-12,0.4090571428571429,0.3251714285714286,0.5201678571428572,0.0838857142857143,0.20599285714285717,0.314175
6028,2004-03-13,0.40521428571428575,0.31484285714285715,0.5146482142857143,0.09037142857142857,0.2082982142857143,0.30634999999999996
6029,2004-03-14,0.4013714285714286,0.30451428571428574,0.5091285714285714,0.09685714285714286,0.21060357142857145,0.298525
6030,2004-03-15,0.39752857142857145,0.2941857142857143,0.5036089285714286,0.10334285714285715,0.21290892857142857,0.2907
6031,2004-03-16,0.3936857142857143,0.28385714285714286,0.49808928571428573,0.10982857142857144,0.21521428571428572,0.28287500000000004
6032,2004-03-17,0.38984285714285716,0.2735285714285714,0.4925696428571429,0.11631428571428572,0.21751964285714287,0.27505
6033,2004-03-18,0.386,0.2632,0.48705000000000004,0.1228,0.219825,0.26722500000000005
6034,2004-03-19,0.37582857142857146,0.2864428571428571,0.48251428571428573,0.08938571428571429,0.2247517857142857,0.25776250000000006
6035,2004-03-20,0.36565714285714285,0.3096857142857143,0.4779785714285715,0.055971428571428575,0.22967857142857143,0.24830000000000005
6036,2004-03-21,0.3554857142857143,0.3329285714285714,0.47344285714285717,0.02255714285714286,0.23460535714285713,0.23883750000000004
6037,2004-03-22,0.34531428571428574,0.3561714285714286,0.4689071428571429,-0.010857142857142857,0.23953214285714286,0.22937500000000005
6038,2004-03-23,0.3351428571428572,0.3794142857142857,0.4643714285714286,-0.04427142857142859,0.24445892857142856,0.21991250000000004
6039,2004-03-24,0.3249714285714286,0.4026571428571428,0.45983571428571435,-0.07768571428571429,0.2493857142857143,0.21045000000000003
6040,2004-03-25,0.3148,0.4259,0.45530000000000004,-0.1111,0.2543125,0.20098750000000004
6041,2004-03-26,0.3486428571428572,0.3970714285714286,0.4560607142857143,-0.04842857142857143,0.25441785714285714,0.20164285714285718
6042,2004-03-27,0.3824857142857143,0.36824285714285715,0.4568214285714286,0.01424285714285714,0.2545232142857143,0.20229821428571432
6043,2004-03-28,0.4163285714285715,0.3394142857142857,0.4575821428571429,0.07691428571428571,0.2546285714285714,0.20295357142857146
6044,2004-03-29,0.45017142857142867,0.3105857142857143,0.45834285714285716,0.13958571428571429,0.25473392857142857,0.2036089285714286
6045,2004-03-30,0.4840142857142858,0.2817571428571429,0.45910357142857144,0.20225714285714289,0.2548392857142857,0.20426428571428573
6046,2004-03-31,0.517857142857143,0.25292857142857145,0.4598642857142857,0.2649285714285714,0.25494464285714286,0.20491964285714287
6047,2004-04-01,0.5517000000000001,0.22410000000000002,0.460625,0.3276,0.25505,0.205575
6048,2004-04-02,0.5568571428571429,0.22104285714285715,0.46110357142857145,0.33581428571428573,0.25605714285714287,0.20504642857142857
6049,2004-04-03,0.5620142857142858,0.2179857142857143,0.46158214285714283,0.3440285714285714,0.2570642857142857,0.20451785714285714
6050,2004-04-04,0.5671714285714287,0.21492857142857144,0.46206071428571427,0.35224285714285714,0.25807142857142856,0.2039892857142857
6051,2004-04-05,0.5723285714285714,0.2118714285714286,0.4625392857142857,0.36045714285714286,0.25907857142857144,0.20346071428571427
6052,2004-04-06,0.5774857142857143,0.20881428571428573,0.46301785714285715,0.3686714285714286,0.2600857142857143,0.20293214285714284
6053,2004-04-07,0.5826428571428571,0.20575714285714286,0.46349642857142853,0.37688571428571427,0.2610928571428571,0.2024035714285714
6054,2004-04-08,0.5878,0.20270000000000002,0.46397499999999997,0.3851,0.2621,0.20187499999999997
6055,2004-04-09,0.5949,0.1933857142857143,0.46527857142857143,0.4015142857142857,0.2608107142857143,0.20446785714285712
6056,2004-04-10,0.602,0.18407142857142858,0.46658214285714283,0.4179285714285714,0.25952142857142857,0.20706071428571426
6057,2004-04-11,0.6091,0.17475714285714286,0.4678857142857143,0.43434285714285714,0.25823214285714285,0.2096535714285714
6058,2004-04-12,0.6162000000000001,0.16544285714285717,0.4691892857142857,0.45075714285714286,0.25694285714285714,0.21224642857142859
6059,2004-04-13,0.6233000000000001,0.15612857142857145,0.47049285714285716,0.46717142857142857,0.2556535714285714,0.21483928571428573
6060,2004-04-14,0.6304000000000001,0.14681428571428573,0.47179642857142856,0.4835857142857143,0.2543642857142857,0.21743214285714288
6061,2004-04-15,0.6375000000000001,0.1375,0.4731,0.5,0.253075,0.22002500000000003
