"DateTime","Aggregated Exchanges","Price"
"2013-11-23 00:00:00",154.23779519,844.785
"2013-11-24 00:00:00",400.5785939,800.1
"2013-11-25 00:00:00",170.33021182,804.47
"2013-11-26 00:00:00",498.95854114,900.02
"2013-11-27 00:00:00",310.9774028300001,1004.525
"2013-11-28 00:00:00",490.0933823299999,1128.27
"2013-11-29 00:00:00",390.95240549,1145.94
"2013-11-30 00:00:00",258.50844695999996,1191.5500000000002
"2013-12-01 00:00:00",282.74251101000004,1028.5549999999998
"2013-12-02 00:00:00",196.72566335999997,1046.35
"2013-12-03 00:00:00",304.00424611000005,1125.27
"2013-12-04 00:00:00",291.21607327,1185.525
"2013-12-05 00:00:00",329.58620400999996,1054.925
"2013-12-06 00:00:00",325.60961796,959.5
"2013-12-07 00:00:00",258.94631800999997,735.995
"2013-12-08 00:00:00",124.42267278,740.995
"2013-12-09 00:00:00",193.29982337,883.88
"2013-12-10 00:00:00",239.08620401,989.83
"2013-12-11 00:00:00",200.6444909,956.41
"2013-12-12 00:00:00",152.28816106000002,890.245
"2013-12-13 00:00:00",311.15725957999996,936
"2013-12-14 00:00:00",100.50684893,911.52
"2013-12-15 00:00:00",114.77648712,882.94
"2013-12-16 00:00:00",210.85901119,819.485
"2013-12-17 00:00:00",164.84021657000002,729.4200000000001
"2013-12-18 00:00:00",500.04941338000003,585.925
"2013-12-19 00:00:00",249.14868944000003,634.2
"2013-12-20 00:00:00",179.32163503,697.8199999999999
"2013-12-21 00:00:00",273.8648589900001,650
"2013-12-22 00:00:00",156.66204021000001,657.4300000000001
"2013-12-23 00:00:00",221.96083695000002,677.9649999999999
"2013-12-24 00:00:00",222.29424943,697.96
"2013-12-25 00:00:00",225.52730483000002,691.94
"2013-12-26 00:00:00",304.77924901,768.4200000000001
"2013-12-27 00:00:00",1035.0111638299998,802.35
"2013-12-28 00:00:00",404.78322415,760.7850000000001
"2013-12-29 00:00:00",159.23176768999997,769.465
"2013-12-30 00:00:00",237.65249882,799.895
"2013-12-31 00:00:00",175.83387662999996,795.45
"2014-01-01 00:00:00",282.0377263,800.45
"2014-01-02 00:00:00",206.38763632,848.34
"2014-01-03 00:00:00",248.69990014,863.835
"2014-01-04 00:00:00",185.21350527999996,890.24
"2014-01-05 00:00:00",148.66592296000002,970.6099999999999
"2014-01-06 00:00:00",203.74490174000002,1029.0900000000001
"2014-01-07 00:00:00",148.66511093000003,961.915
"2014-01-08 00:00:00",138.55844266,912.9
"2014-01-09 00:00:00",157.67208639,915.595
"2014-01-10 00:00:00",108.51299485,935.36
"2014-01-11 00:00:00",166.5863405,972.9200000000001
"2014-01-12 00:00:00",167.95788776,972.37
"2014-01-13 00:00:00",136.99042472999997,914.59
"2014-01-14 00:00:00",173.92138231,923.33
"2014-01-15 00:00:00",159.03387868000002,944.075
"2014-01-16 00:00:00",173.44601900000004,933.015
"2014-01-17 00:00:00",284.63799186999995,898.485
"2014-01-18 00:00:00",158.53186049,904.74
"2014-01-19 00:00:00",170.66498692000002,929.975
"2014-01-20 00:00:00",379.20935355000006,953.25
"2014-01-21 00:00:00",520.6797616599998,958.7149999999999
"2014-01-22 00:00:00",345.1740743799999,954.445
"2014-01-23 00:00:00",303.50586069999997,947.165
