"DateTime","Price"
"2013-11-18 00:00:00",713.59
"2013-11-25 00:00:00",1029.05
"2013-12-02 00:00:00",978.37
"2013-12-09 00:00:00",921.55
"2013-12-16 00:00:00",682.04
"2013-12-23 00:00:00",738.41
"2013-12-30 00:00:00",852.69
"2014-01-06 00:00:00",957.16
"2014-01-13 00:00:00",921.17
"2014-01-20 00:00:00",954.47
"2014-01-27 00:00:00",946.08
"2014-02-03 00:00:00",816.67
"2014-02-10 00:00:00",484.16
"2014-02-17 00:00:00",246.31
"2014-02-24 00:00:00",443.52
"2014-03-03 00:00:00",634.21
"2014-03-10 00:00:00",619.25
"2014-03-17 00:00:00",579.74
"2014-03-24 00:00:00",515.26
"2014-03-31 00:00:00",445.53
"2014-04-07 00:00:00",444.15
"2014-04-14 00:00:00",497.51
"2014-04-21 00:00:00",482.35
"2014-04-28 00:00:00",443.79
"2014-05-05 00:00:00",441.6
"2014-05-12 00:00:00",444.58
"2014-05-19 00:00:00",499.07
"2014-05-26 00:00:00",591.17
"2014-06-02 00:00:00",649.15
"2014-06-09 00:00:00",619.62
"2014-06-16 00:00:00",599.6
"2014-06-23 00:00:00",589.85
"2014-06-30 00:00:00",630.14
"2014-07-07 00:00:00",622.54
"2014-07-14 00:00:00",622.93
"2014-07-21 00:00:00",611.07
"2014-07-28 00:00:00",585.99
"2014-08-04 00:00:00",592.37
"2014-08-11 00:00:00",532.29
"2014-08-18 00:00:00",498.03
"2014-08-25 00:00:00",508.46
"2014-09-01 00:00:00",483.94
"2014-09-08 00:00:00",477.65
"2014-09-15 00:00:00",438.18
"2014-09-22 00:00:00",410.16
"2014-09-29 00:00:00",367.29
"2014-10-06 00:00:00",350.46
"2014-10-13 00:00:00",386.58
"2014-10-20 00:00:00",367.03
"2014-10-27 00:00:00",340.71
"2014-11-03 00:00:00",338.62
"2014-11-10 00:00:00",392.31
"2014-11-17 00:00:00",371.41
"2014-11-24 00:00:00",375.38
"2014-12-01 00:00:00",376.47
"2014-12-08 00:00:00",353.63
"2014-12-15 00:00:00",326.9
"2014-12-22 00:00:00",324.6
"2014-12-29 00:00:00",306.73
"2015-01-05 00:00:00",279.8
"2015-01-12 00:00:00",217.53
"2015-01-19 00:00:00",227.41
"2015-01-26 00:00:00",243.51
"2015-02-02 00:00:00",226.75
"2015-02-09 00:00:00",229.17
"2015-02-16 00:00:00",239.95
"2015-02-23 00:00:00",242.64
"2015-03-02 00:00:00",273.07
"2015-03-09 00:00:00",289
"2015-03-16 00:00:00",269.24
"2015-03-23 00:00:00",250.65
"2015-03-30 00:00:00",248.99
"2015-04-06 00:00:00",244.18
"2015-04-13 00:00:00",223.79
"2015-04-20 00:00:00",229.11
"2015-04-27 00:00:00",231.62
"2015-05-04 00:00:00",238.44
"2015-05-11 00:00:00",238.17
"2015-05-18 00:00:00",236.25
"2015-05-25 00:00:00",236.17
"2015-06-01 00:00:00",225.04
"2015-06-08 00:00:00",229.99
"2015-06-15 00:00:00",244.75
"2015-06-22 00:00:00",244.54
"2015-06-29 00:00:00",258.48
"2015-07-06 00:00:00",278.97
"2015-07-13 00:00:00",281.19
"2015-07-20 00:00:00",280.63
"2015-07-27 00:00:00",286.76
"2015-08-03 00:00:00",276.37
"2015-08-10 00:00:00",263.8
"2015-08-17 00:00:00",237.27
"2015-08-24 00:00:00",223.61
"2015-08-31 00:00:00",230.25
"2015-09-07 00:00:00",238.43
"2015-09-14 00:00:00",231.43
"2015-09-21 00:00:00",231.81
"2015-09-28 00:00:00",239.84
"2015-10-05 00:00:00",243.33
"2015-10-12 00:00:00",256.33
"2015-10-19 00:00:00",273.73
"2015-10-26 00:00:00",305.97
"2015-11-02 00:00:00",385.2
"2015-11-09 00:00:00",339.07
"2015-11-16 00:00:00",326.61
"2015-11-23 00:00:00",340.91
"2015-11-30 00:00:00",369.67
"2015-12-07 00:00:00",416.96
"2015-12-14 00:00:00",451.66
"2015-12-21 00:00:00",437.35
"2015-12-28 00:00:00",428.22
"2016-01-04 00:00:00",440.54
"2016-01-11 00:00:00",414.98
"2016-01-18 00:00:00",393.08
"2016-01-25 00:00:00",384.9
"2016-02-01 00:00:00",377.7
"2016-02-08 00:00:00",382.51
"2016-02-15 00:00:00",418.41
"2016-02-22 00:00:00",426.56
"2016-02-29 00:00:00",419.42
"2016-03-07 00:00:00",413.28
"2016-03-14 00:00:00",412.61
"2016-03-21 00:00:00",415.54
"2016-03-28 00:00:00",416.51
"2016-04-04 00:00:00",419.22
"2016-04-11 00:00:00",424.94
"2016-04-18 00:00:00",441.31
"2016-04-25 00:00:00",453.53
"2016-05-02 00:00:00",450.95
"2016-05-09 00:00:00",455.24
"2016-05-16 00:00:00",448.07
"2016-05-23 00:00:00",467.4
"2016-05-30 00:00:00",547.55
"2016-06-06 00:00:00",584.96
"2016-06-13 00:00:00",716.83
"2016-06-20 00:00:00",655.81
"2016-06-27 00:00:00",656.8
"2016-07-04 00:00:00",653.42
"2016-07-11 00:00:00",659.83
"2016-07-18 00:00:00",662.47
"2016-07-25 00:00:00",651.65
"2016-08-01 00:00:00",573.77
"2016-08-08 00:00:00",586.42
"2016-08-15 00:00:00",574.58
"2016-08-22 00:00:00",578.72
"2016-08-29 00:00:00",589.8
"2016-09-05 00:00:00",614.65
"2016-09-12 00:00:00",608.01
"2016-09-19 00:00:00",602.66
"2016-09-26 00:00:00",606.51
"2016-10-03 00:00:00",612.72
"2016-10-10 00:00:00",633.01
"2016-10-17 00:00:00",637.56
"2016-10-24 00:00:00",676.93
"2016-10-31 00:00:00",706.27
"2016-11-07 00:00:00",710.34
"2016-11-14 00:00:00",728.23
"2016-11-21 00:00:00",736.46
"2016-11-28 00:00:00",749.33
"2016-12-05 00:00:00",764.88
"2016-12-12 00:00:00",779.69
"2016-12-19 00:00:00",844.72
"2016-12-26 00:00:00",944.49
"2017-01-02 00:00:00",975.67
"2017-01-09 00:00:00",836.3
"2017-01-16 00:00:00",881.93
"2017-01-23 00:00:00",911.14
"2017-01-30 00:00:00",981.41
"2017-02-06 00:00:00",1010.98
"2017-02-13 00:00:00",1023.33
"2017-02-20 00:00:00",1125
"2017-02-27 00:00:00",1228.19
"2017-03-06 00:00:00",1193.52
"2017-03-13 00:00:00",1150.78
"2017-03-20 00:00:00",1017.11
"2017-03-27 00:00:00",1050.96
"2017-04-03 00:00:00",1160.79
"2017-04-10 00:00:00",1170.39
"2017-04-17 00:00:00",1221.07
"2017-04-24 00:00:00",1298.75
"2017-05-01 00:00:00",1487.88
"2017-05-08 00:00:00",1714.5
"2017-05-15 00:00:00",1862.21
"2017-05-22 00:00:00",2258.82
"2017-05-29 00:00:00",2367.46
"2017-06-05 00:00:00",2786.04
"2017-06-12 00:00:00",2563.04
"2017-06-19 00:00:00",2659.59
"2017-06-26 00:00:00",2495.73
"2017-07-03 00:00:00",2572.28
"2017-07-10 00:00:00",2252.81
"2017-07-17 00:00:00",2510.54
"2017-07-24 00:00:00",2680.99
"2017-07-31 00:00:00",2898.7
"2017-08-07 00:00:00",3548.02
"2017-08-14 00:00:00",4165.17
"2017-08-21 00:00:00",4196.23
"2017-08-28 00:00:00",4588.25
"2017-09-04 00:00:00",4375.31
"2017-09-11 00:00:00",3826.45
"2017-09-18 00:00:00",3802.46
"2017-09-25 00:00:00",4104.75
"2017-10-02 00:00:00",4365.03
"2017-10-09 00:00:00",5206.4
"2017-10-16 00:00:00",5727.07
"2017-10-23 00:00:00",5788.28
"2017-10-30 00:00:00",6835.21
"2017-11-06 00:00:00",6904.8
"2017-11-13 00:00:00",7241.05
"2017-11-20 00:00:00",8319.55
"2017-11-27 00:00:00",10243.69
"2017-12-04 00:00:00",13656.86
"2017-12-11 00:00:00",17292.75
"2017-12-18 00:00:00",15786.45
"2017-12-25 00:00:00",14244.84
"2018-01-01 00:00:00",15227.3
"2018-01-08 00:00:00",14203.35
"2018-01-15 00:00:00",11866.17
"2018-01-22 00:00:00",11146.74
"2018-01-29 00:00:00",9649.47
"2018-02-05 00:00:00",7939.09
"2018-02-12 00:00:00",9622.91
"2018-02-19 00:00:00",10424.18
"2018-02-26 00:00:00",10771.62
"2018-03-05 00:00:00",9931.43
"2018-03-12 00:00:00",8485
"2018-03-19 00:00:00",8693.13
"2018-03-26 00:00:00",7470.01
"2018-04-02 00:00:00",7030.92
"2018-04-09 00:00:00",7472.14
"2018-04-16 00:00:00",8408.49
"2018-04-23 00:00:00",9172.56
"2018-04-30 00:00:00",9451.31
"2018-05-07 00:00:00",8969.41
"2018-05-14 00:00:00",8367.89
"2018-05-21 00:00:00",7746.34
"2018-05-28 00:00:00",7464.82
"2018-06-04 00:00:00",7538.83
"2018-06-11 00:00:00",6548.73
"2018-06-18 00:00:00",6470.06
"2018-06-25 00:00:00",6179.54
"2018-07-02 00:00:00",6541.09
"2018-07-09 00:00:00",6372.74
"2018-07-16 00:00:00",7250.52
"2018-07-23 00:00:00",8061.97
"2018-07-30 00:00:00",7545.46
"2018-08-06 00:00:00",6521.82
"2018-08-13 00:00:00",6364.34
"2018-08-20 00:00:00",6552.37
"2018-08-27 00:00:00",7030.93
"2018-09-03 00:00:00",6747.21
"2018-09-10 00:00:00",6402.38
"2018-09-17 00:00:00",6510.05
"2018-09-24 00:00:00",6573.91
"2018-10-01 00:00:00",6566.69
"2018-10-08 00:00:00",6426.29
"2018-10-15 00:00:00",6566.94
"2018-10-22 00:00:00",6476.42
"2018-10-29 00:00:00",6366.32
"2018-11-05 00:00:00",6438.93
"2018-11-12 00:00:00",5854.65
"2018-11-19 00:00:00",4421.69
"2018-11-26 00:00:00",4064.87
"2018-12-03 00:00:00",3694.07
"2018-12-10 00:00:00",3363.57
"2018-12-17 00:00:00",3840.59
"2018-12-24 00:00:00",3887.3
"2018-12-31 00:00:00",3873.53
"2019-01-07 00:00:00",3853.96
"2019-01-14 00:00:00",3659.89
"2019-01-21 00:00:00",3578.68
"2019-01-28 00:00:00",3456.19
"2019-02-04 00:00:00",3503.56
"2019-02-11 00:00:00",3622.53
"2019-02-18 00:00:00",3954.07
"2019-02-25 00:00:00",3823.4
"2019-03-04 00:00:00",3863.55
"2019-03-11 00:00:00",3916.33
"2019-03-18 00:00:00",4006.34
"2019-03-25 00:00:00",4027.36
"2019-04-01 00:00:00",4857
"2019-04-08 00:00:00",5168.76
"2019-04-15 00:00:00",5230.41
"2019-04-22 00:00:00",5339.97
"2019-04-29 00:00:00",5512.5
"2019-05-06 00:00:00",6277.21
"2019-05-13 00:00:00",7708.43
"2019-05-20 00:00:00",7960.18
"2019-05-27 00:00:00",8600.83
"2019-06-03 00:00:00",7892.25
"2019-06-10 00:00:00",8317.08
"2019-06-17 00:00:00",9770.35
"2019-06-24 00:00:00",11670.09
"2019-07-01 00:00:00",11101.88
"2019-07-08 00:00:00",11697.52
"2019-07-15 00:00:00",10286.26
"2019-07-22 00:00:00",9863.02
"2019-07-29 00:00:00",10172.12
"2019-08-05 00:00:00",11651.48
"2019-08-12 00:00:00",10509.55
"2019-08-19 00:00:00",10323.38
