"DateTime","New Addresses","Active Addresses","Zero Balance Addresses","Price"
"2009-05-21 00:00:00",82,82,0
"2009-05-22 00:00:00",61,61,0
"2009-05-23 00:00:00",32,32,0
"2009-05-24 00:00:00",100,100,0
"2009-05-25 00:00:00",109,109,0
"2009-05-26 00:00:00",125,125,0
"2009-05-27 00:00:00",119,119,0
"2009-05-28 00:00:00",95,95,0
"2009-05-29 00:00:00",106,167,60
"2009-05-30 00:00:00",109,109,0
"2009-05-31 00:00:00",96,96,0
"2009-06-01 00:00:00",72,73,0
"2009-06-02 00:00:00",111,111,0
"2009-06-03 00:00:00",71,71,0
"2009-06-04 00:00:00",66,66,0
"2009-06-05 00:00:00",30,30,0
"2009-06-06 00:00:00",28,28,0
"2009-06-07 00:00:00",16,16,0
"2009-06-08 00:00:00",82,82,0
"2009-06-09 00:00:00",91,91,0
"2009-06-10 00:00:00",82,82,0
"2009-06-11 00:00:00",89,89,0
"2009-06-12 00:00:00",86,86,0
"2009-06-13 00:00:00",78,78,0
"2009-06-14 00:00:00",72,72,0
"2009-06-15 00:00:00",84,84,0
"2009-06-16 00:00:00",71,71,0
"2009-06-17 00:00:00",79,79,0
"2009-06-18 00:00:00",80,80,0
"2009-06-19 00:00:00",87,87,0
"2009-06-20 00:00:00",78,78,0
"2009-06-21 00:00:00",81,81,0
"2009-06-22 00:00:00",76,137,60
"2009-06-23 00:00:00",76,76,0
"2009-06-24 00:00:00",96,100,2
"2009-06-25 00:00:00",68,89,20
"2009-06-26 00:00:00",90,90,0
"2009-06-27 00:00:00",84,84,0
"2009-06-28 00:00:00",47,48,0
"2009-06-29 00:00:00",84,85,0
"2009-06-30 00:00:00",85,89,3
"2009-07-01 00:00:00",74,77,2
"2009-07-02 00:00:00",84,85,0
"2009-07-03 00:00:00",82,82,0
"2009-07-04 00:00:00",89,89,0
"2009-07-05 00:00:00",79,79,0
"2009-07-06 00:00:00",84,84,0
"2009-07-07 00:00:00",69,69,0
"2009-07-08 00:00:00",74,74,0
"2009-07-09 00:00:00",86,86,0
"2009-07-10 00:00:00",81,81,0
"2009-07-11 00:00:00",83,83,0
"2009-07-12 00:00:00",77,77,0
"2009-07-13 00:00:00",78,78,0
"2009-07-14 00:00:00",69,69,0
"2009-07-15 00:00:00",45,45,0
"2009-07-16 00:00:00",71,71,0
"2009-07-17 00:00:00",47,47,0
"2009-07-18 00:00:00",4,4,0
"2009-07-19 00:00:00",70,70,0
"2009-07-20 00:00:00",70,192,120
"2009-07-21 00:00:00",82,82,0
"2009-07-22 00:00:00",60,60,0
"2009-07-23 00:00:00",76,76,0
"2009-07-24 00:00:00",73,73,0
"2009-07-25 00:00:00",32,32,0
"2009-07-26 00:00:00",21,21,0
"2009-07-27 00:00:00",74,74,0
"2009-07-28 00:00:00",41,41,0
"2009-07-29 00:00:00",20,22,2
"2009-07-30 00:00:00",16,17,0
"2009-07-31 00:00:00",17,17,0
"2009-08-01 00:00:00",28,28,0
"2009-08-02 00:00:00",23,23,0
"2009-08-03 00:00:00",12,12,0
"2009-08-04 00:00:00",81,81,0
