"DateTime","Volatility","Price"
"2019-03-18 00:00:00",0.274688,4006.34
"2019-03-25 00:00:00",0.192867,4027.36
"2019-04-01 00:00:00",0.486449,4857
"2019-04-08 00:00:00",0.573558,5168.76
"2019-04-15 00:00:00",0.585756,5230.41
"2019-04-22 00:00:00",0.598551,5339.97
"2019-04-29 00:00:00",0.470185,5512.5
"2019-05-06 00:00:00",0.364819,6277.21
"2019-05-13 00:00:00",0.533197,7708.43
"2019-05-20 00:00:00",0.622351,7960.18
"2019-05-27 00:00:00",0.633596,8600.83
"2019-06-03 00:00:00",0.719232,7892.25
"2019-06-10 00:00:00",0.61638,8317.08
"2019-06-17 00:00:00",0.531275,9770.35
"2019-06-24 00:00:00",0.686003,11670.09
"2019-07-01 00:00:00",0.829402,11101.88
"2019-07-08 00:00:00",0.869536,11697.52
"2019-07-15 00:00:00",0.951132,10286.26
"2019-07-22 00:00:00",0.867438,9863.02
"2019-07-29 00:00:00",0.710028,10172.12
"2019-08-05 00:00:00",0.631716,11651.48
"2019-08-12 00:00:00",0.574427,10509.55
"2019-08-19 00:00:00",0.531954,10323.38
"2019-08-26 00:00:00",0.522679,9845.5
"2019-09-02 00:00:00",0.503446,10469.8
"2019-09-09 00:00:00",0.452899,10247.79
"2019-09-16 00:00:00",0.377405,10131.12
"2019-09-23 00:00:00",0.466267,8544.23
"2019-09-30 00:00:00",0.46207,8186.08
"2019-10-07 00:00:00",0.463731,8362.3
"2019-10-14 00:00:00",0.46487,8121.82
"2019-10-21 00:00:00",0.556507,8382.08
"2019-10-28 00:00:00",0.76852,9297.53
"2019-11-04 00:00:00",0.764062,9149.22
"2019-11-11 00:00:00",0.766892,8664.84
"2019-11-18 00:00:00",0.773193,7712.5
"2019-11-25 00:00:00",0.37855,7384.94
"2019-12-02 00:00:00",0.406773,7424.7
"2019-12-09 00:00:00",0.405232,7247.74
"2019-12-16 00:00:00",0.420103,7089.19
"2019-12-23 00:00:00",0.364663,7313.15
"2019-12-30 00:00:00",0.343459,7251.52
"2020-01-06 00:00:00",0.398164,7969.01
"2020-01-13 00:00:00",0.405797,8661.38
"2020-01-20 00:00:00",0.38938,8515.54
"2020-01-27 00:00:00",0.399625,9242.04
"2020-02-03 00:00:00",0.375322,9628.43
"2020-02-10 00:00:00",0.336027,10120.51
"2020-02-17 00:00:00",0.351578,9743.1
"2020-02-24 00:00:00",0.368627,8996.16
"2020-03-02 00:00:00",0.374051,8849.42
"2020-03-09 00:00:00",0.762421,6561.87
"2020-03-16 00:00:00",1.25,5687.18
"2020-03-23 00:00:00",1.35,6441.13
"2020-03-30 00:00:00",1.38,6645.2
"2020-04-06 00:00:00",1.28,7112.51
"2020-04-13 00:00:00",0.729847,6955.44
"2020-04-20 00:00:00",0.546012,7276.17
"2020-04-27 00:00:00",0.521947,8490.68
"2020-05-04 00:00:00",0.543669,9274.32
"2020-05-11 00:00:00",0.622722,9239.1
"2020-05-18 00:00:00",0.627202,9353.31
"2020-05-25 00:00:00",0.600675,9231.05
"2020-06-01 00:00:00",0.539038,9694.27
"2020-06-08 00:00:00",0.402333,9577.49
"2020-06-15 00:00:00",0.347914,9347.11
"2020-06-22 00:00:00",0.322523,9292.1
"2020-06-29 00:00:00",0.277886,9118.68
"2020-07-06 00:00:00",0.258368,9270.99
"2020-07-13 00:00:00",0.214901,9182.38
"2020-07-20 00:00:00",0.188064,9510.08
"2020-07-27 00:00:00",0.318648,11127.91
"2020-08-03 00:00:00",0.343675,11512.79
"2020-08-10 00:00:00",0.363073,11679.56
"2020-08-17 00:00:00",0.385856,11811.59
"2020-08-24 00:00:00",0.325996,11492.92
"2020-08-31 00:00:00",0.329692,10936.76
"2020-09-07 00:00:00",0.36306,10275.65
"2020-09-14 00:00:00",0.354316,10853.31
"2020-09-21 00:00:00",0.359546,10585.88
"2020-09-28 00:00:00",0.322366,10671.64
"2020-10-05 00:00:00",0.217982,10907.52
"2020-10-12 00:00:00",0.223684,11419.51
"2020-10-19 00:00:00",0.263511,12577.56
"2020-10-26 00:00:00",0.290216,13437.01
"2020-11-02 00:00:00",0.354041,14559.16
"2020-11-09 00:00:00",0.412533,15770.33
"2020-11-16 00:00:00",0.430769,17766.92
"2020-11-23 00:00:00",0.492786,18008.4
"2020-11-30 00:00:00",0.558392,19034.35
"2020-12-07 00:00:00",0.524195,18546.49
"2020-12-14 00:00:00",0.590276,21611.11
"2020-12-21 00:00:00",0.611237,24224.25
"2020-12-28 00:00:00",0.587694,29136.61
"2021-01-04 00:00:00",0.724288,36369.55
"2021-01-11 00:00:00",0.896869,35923.17
"2021-01-18 00:00:00",0.951662,33803.78
"2021-01-25 00:00:00",1.01,32943.28
"2021-02-01 00:00:00",0.960652,36851.1
"2021-02-08 00:00:00",0.925602,46292.85
"2021-02-15 00:00:00",0.830298,52158.52
"2021-02-22 00:00:00",0.839313,48417.1
"2021-03-01 00:00:00",0.803802,48908.08
"2021-03-08 00:00:00",0.709851,55939.13
"2021-03-15 00:00:00",0.699278,57401.9
"2021-03-22 00:00:00",0.647382,54412.72
"2021-03-29 00:00:00",0.555048,58155.27
"2021-04-05 00:00:00",0.498933,58314.76
"2021-04-12 00:00:00",0.434154,61088.15
"2021-04-19 00:00:00",0.472173,52577.46
"2021-04-26 00:00:00",0.538017,55050.31
"2021-05-03 00:00:00",0.580205,56899.07
"2021-05-10 00:00:00",0.621977,51596.39
"2021-05-17 00:00:00",0.805401,39095.7
"2021-05-24 00:00:00",0.893311,37254.63
"2021-05-31 00:00:00",0.8718,37026.21
