"DateTime","Bitcoin","Ethereum","VIX Index","DAX","Dow Jones Industrial Average","S&P 500","Nasdaq 100","Russell 2000","US Dollar Index"
"2017-01-02 00:00:00",0,0,,0,0,0,0,0,
"2017-01-09 00:00:00",-0.11894870120877599,0.2593939393939395,,0.007223200645236627,0.006313946545495108,0.013431122505951798,0.03316044700535392,-0.000370776365277381,
"2017-01-16 00:00:00",-0.18177142065800145,0.19212121212121214,,0.012901247794193216,0.006230455506866628,0.01599496165407821,0.040276566859793084,0.010456068949522113,
"2017-01-23 00:00:00",-0.09053455200110794,0.3084848484848486,,0.005634497163153895,0.001884873447825619,0.011778473577716886,0.04154944601341781,-0.007193177407843643,
"2017-01-30 00:00:00",-0.09299266029635778,0.2842424242424242,,0.017492287297514286,0.010551749263761012,0.01879106497590266,0.05463194531085436,-0.004152761084369128,
"2017-02-06 00:00:00",0.009669218746908737,0.3678787878787879,,0.0025067371828038088,0.014665074433525938,0.023999142409204755,0.06257541194216754,0.00734149421997965,
"2017-02-13 00:00:00",-0.019373058737412685,0.3745454545454545,,0.025552518669879065,0.03286814487972234,0.039940504638583674,0.0808443160316239,0.02558398432829545,
"2017-02-20 00:00:00",0.04989910380438012,0.5381818181818183,,0.024036108164228853,0.04358991225850861,0.050173528137464674,0.09480613985518094,0.03159065856917653,
"2017-02-27 00:00:00",0.16727501137555145,0.8418181818181818,,0.02975422130012384,0.05438758058150239,0.058476972347163425,0.09949990743519499,0.03819058439353884,
"2017-03-06 00:00:00",0.2570528419095097,1.3818181818181818,,0.041576300446126035,0.060302794166759544,0.06096041235824079,0.10212416694759607,0.02113459745218571,
"2017-03-13 00:00:00",0.21235681642827453,2.2933333333333334,,0.044331272548005174,0.05661603230344192,0.06013855451284811,0.10916834449799495,0.010604377929126718,
"2017-03-20 00:00:00",0.02011494252873569,4.238787878787878,,0.04980724776283729,0.05784967564996513,0.06013855451284811,0.11302041384980033,0.021514279405517422,
"2017-03-27 00:00:00",-0.005554236651037714,5.0636363636363635,,0.04485735637650179,0.03989252426300194,0.04589897401767895,0.10499453945781467,0.002059861733735291,
"2017-04-03 00:00:00",0.11451718202860706,4.53030303030303,,0.06760177196182249,0.04491362472549154,0.05360389131823329,0.11690480480833654,0.011653576822919787,
"2017-04-10 00:00:00",0.1918016895166872,4.276363636363636,,0.06266494557122781,0.04530881564166678,0.052853499372440105,0.11474166277313302,0.010091809250261763,
"2017-04-17 00:00:00",0.1750351158327892,4.824242424242424,,0.05469355616990068,0.044241142359811025,0.049213205111598546,0.11011885057787008,0.006150205376410867,
"2017-04-24 00:00:00",0.23213049241300165,5.007878787878788,,0.08482840434594019,0.05066590428384932,0.06044228458614542,0.13249673144667806,0.03314647341806909,
"2017-05-01 00:00:00",0.3806259520841988,8.413939393939392,,0.08335031782779656,0.05823424043395109,0.06677594993813729,0.15749833724660522,0.04013724255282347,
"2017-05-08 00:00:00",0.5928393376461509,9.568484848484848,,0.10569494454344808,0.06323459463835723,0.07171156362921716,0.16355088708006682,0.02935360931304265,
"2017-05-15 00:00:00",0.6981522147704116,9.972727272727273,,0.11549282034934061,0.0616993715401819,0.073024749534355,0.17288761645750417,0.030617897348051315,
"2017-05-22 00:00:00",1.1086167329416186,18.081212121212122,,0.0991546076755978,0.05729155070689096,0.06931745599263905,0.17184413435623136,0.01849560618884949,
"2017-05-29 00:00:00",1.203241537578887,21.006060606060608,,0.09764952016625661,0.06667543744244186,0.07905468481304978,0.19013398991977093,0.022883429369174202,
"2017-06-05 00:00:00",1.5863552733099886,28.704242424242423,,0.11687770989786661,0.07192575875643903,0.0881129875872666,0.20858890773447825,0.03359269272454268,
"2017-06-12 00:00:00",1.7047549805131856,43.193939393939395,,0.10533696366015,0.07453826925606943,0.08511588642281898,0.17364846954724822,0.051441464983490226,
"2017-06-19 00:00:00",1.540472233762637,42.040000000000006,,0.12262717902353981,0.08938044589274696,0.09586703769379556,0.18681619343749656,0.05032591671730602,
"2017-06-26 00:00:00",1.429427067877421,29.490909090909092,,0.11233893037750864,0.08333670670863147,0.08943957334857955,0.187919425277421,0.04921036845112181,
"2017-07-03 00:00:00",1.5341662215363923,32.75454545454546,,0.08659914676867819,0.08686458259540752,0.08494615491127067,0.1507799458658321,0.05679609666117447,
"2017-07-10 00:00:00",1.3750816072170453,24.957575757575757,,0.08403927860319516,0.0832845880602755,0.084240429152727,0.17076425960615826,0.04478051590800014,
"2017-07-17 00:00:00",1.0513680337111992,19.87939393939394,,0.09634127859274311,0.09447744729944452,0.09840407712957222,0.20069760389977853,0.06106319703702878,
"2017-07-24 00:00:00",1.7274516786357248,26.490909090909092,,0.06339919833186136,0.08857994393450253,0.10321462549635307,0.22159411891505654,0.06621689295750244,
"2017-07-31 00:00:00",1.7891615723979664,22.776363636363637,,0.05549923090725084,0.10770445184338096,0.10338882362662649,0.2090432812631975,0.0569551832038071,
"2017-08-07 00:00:00",2.275980770372129,31.230303030303027,,0.06759915896267432,0.11920597492232798,0.10812790609380785,0.22022869551722324,0.04896322859194746,
"2017-08-14 00:00:00",3.1128355787682747,35.42666666666666,,0.05958160657639633,0.11289557042089604,0.10139671167529474,0.21476747482471703,0.0347718959723613,
"2017-08-21 00:00:00",2.9884562882070154,37.81030303030303,,0.05094738639115204,0.09822341189924422,0.08466029131287334,0.1897593512453153,0.007061465562000935,
"2017-08-28 00:00:00",3.252655943972936,40.57030303030304,,0.05595389275903084,0.10351876777347124,0.09174881522938305,0.20035734291390717,0.026705250342307085,
