Date,WeightedPrice_return,DASH_return,DOGE_return,ETC_return,ETH_return,LTC_return,SC_return,XEM_return,XMR_return,XRP_return,ZEC_return,CLF_return,CNYUSDX_return,DJI_return,EURUSDX_return,GCF_return,GSPC_return,IXIC_return,JPYUSDX_return,TSLA_return,VIX_return,XWDTO_return,Volume,SMA_30,EMA_40,Altcoin_EMA_40,Cost_per_TR,Num_TR_per_Block,Bu_Be_Spread_MA8,SMA_05,SMA_90,EMA_05,EMA_90,MACD,Avg_Dir_Mvmt,RSI,Awesome_Osc,ROC,Stoch_RSI,Ultimate_Osc,True_SI,Cum_Return,Log_Return,Number_of_Transactions,Active_Addresses,New_Addresses,Hash_Rate,sentiment_elon,sentiment_bitcoin
2014-02-27,0.011386391861589296,-0.008975093606242157,0.05352749152254632,0.0,0.0,-0.015164062413906776,0.0,0.0,0.0,0.0,0.0,-0.0018519818577069636,-3.261894706541035e-05,0.004583180303429746,-0.004665576878331801,0.0025598739188328334,0.004948082937889398,0.006260424323186964,-0.001456505865463531,-0.0018181631753820815,-0.021602816122545332,0.0056048795256546935,27925.86254594,675.6139330761416,672.9201141020194,8.901130183747723,38.0296484691,460.0,0.115204,562.1636259748,613.6189384022528,565.9525610788457,747.2511719647455,-51.12633506987504,74.32864143911645,38.268486261878,-126.10740046963235,-7.487244567682719,0.9818706305461965,58.71632394827373,-36.37036294143,-30.55432273126575,-0.4357875840518055,70859.0,185098.0,95229.0,29478.51454,neutral,positive
2014-02-28,-0.027054696169396042,-0.1750482160602802,-0.07570196136101259,0.0,0.0,-0.04858755352407984,0.0,0.0,0.0,0.0,0.0,0.0018554180582892599,-0.0005884375814073639,0.0030148481737655164,0.0018642094994794078,-0.0076599214169496,0.0027826887923148025,-0.002502948219519352,0.0018509675148381532,-0.030608965657857756,-0.0028490001430588885,-0.005573639945242181,38993.56980111,667.7522600434166,667.5708112767013,8.69859153515845,33.5083196514,442.0,0.1143582857142857,551.7505170492,613.6189384022528,565.0548427802305,743.2073968926192,-50.79031063662603,73.04247772439639,34.69746993733844,-129.37471257257346,-11.904074273153196,0.7752708672255286,53.57958228335643,-35.54386808404384,-34.12305821475535,-5.275634166942655,70290.0,196525.0,92184.0,31620.29868,neutral,positive
2014-03-01,-0.011625968516222995,0.6503333483454588,-0.02723187427646545,0.0,0.0,-0.023403004979182684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21900.14233666,659.775764122875,662.1630141441914,8.50625598418759,33.5083196514,442.0,0.1143582857142857,551.9147737020501,613.6189384022528,562.2735518735703,739.1085743248747,-48.90194986258052,71.90756080298603,37.46850371306373,-122.92658167551474,-9.185844957347426,0.9355879507079846,52.17020364330657,-34.013875357359666,-32.54935757137062,2.360762388182902,63402.0,181719.0,100239.0,27215.3671,neutral,positive
2014-03-02,0.007199204018857763,0.06532267421443327,-0.052047807982209204,0.0,0.0,0.002096914639919012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9532.3767843,651.6468628286,657.214518132926,8.324677913611076,33.5083196514,442.0,0.1143582857142857,566.4031060089999,613.6189384022528,561.7553165534637,735.1879209531907,-46.87570945713105,70.85370937596211,37.45127665018937,-99.55942538875001,2.320085125315757,0.9345912856722928,54.508003714452926,-32.805674564715225,-32.56519812074674,-0.0234874111587402,56635.0,159491.0,80905.0,26872.26576,neutral,positive
2014-03-03,0.10399604434826082,0.18200211421092316,0.04126899637386283,0.0,0.0,0.0033902532151033338,0.0,0.0,0.0,0.0,0.0,0.02271178393774065,-0.0027220095193055682,-0.009415660973500883,0.005069900793929216,0.021719351174164903,-0.007378510346273681,-0.00715400491667828,0.007946333187921706,0.023487555020437423,0.1428571428571428,-0.010914541416357393,115915.276158,644.9605964661666,655.3519264132588,8.155426703029832,27.5489050933,373.0,0.1118211428571428,575.72851481235,613.6189384022528,580.8473403288925,732.6350301164117,-36.37929897471747,67.06641838873198,55.121396906516146,-83.0693222711028,16.783974573564812,1.0,63.02287532661473,-25.115658563481723,-19.968960574129724,17.125331923431464,81264.0,237371.0,123677.0,28209.55635,neutral,positive
2014-03-04,0.08857853530789228,0.03265442387367923,0.016443813088766523,0.0,0.0,0.2492387566131251,0.0,0.0,0.0,0.0,0.0,-0.015154368714726973,-0.00019554772056928904,0.014092662005453782,-0.0028985171301948442,-0.009110382179262078,0.01526770113131204,0.017457371137386435,-0.0010550915735908495,0.017081716978787576,-0.11874997615625005,0.02028046280141038,53101.34655838,639.9935814188168,656.2549681261607,8.049617302527748,33.8738561535,567.7852348993,0.1109754285714285,594.7169783127999,613.6189384022528,611.8529873951784,731.3433653122653,-27.730935503029173,63.549648186304,55.13785905965417,-61.48889999169114,10.35803749029489,1.0,56.809286342132246,-19.334004593409528,-19.953767636829244,0.018982004348711,84600.0,232480.0,132656.0,28401.79067,neutral,positive
2014-03-05,-0.01600556179509538,-0.08188015951444172,-0.0033088593666833477,0.0,0.0,-0.024424531295870744,0.0,0.0,0.0,0.0,0.0,-0.018194182227665223,0.0004400911299682342,-0.002177447627315865,0.0003023401416046845,0.001793917069970341,-5.3351326411821276e-05,0.0013786859063362744,-0.0074967501764390265,-0.008554328637422226,-0.014893619327523644,-0.0073078339695865635,21121.9523086,635.0716384509334,656.5878333457749,7.940785986042679,37.2824150016,452.0,0.1101297142857142,614.68083810185,613.6189384022528,628.9282266395356,729.8430431104188,-20.29910160922168,60.284075855478015,55.72659406253239,-37.92762823433827,11.35196095910572,1.0,57.42730547739676,-14.611982224833984,-19.442337072222728,0.6368865368033383,72392.0,202137.0,115201.0,29671.80684,neutral,positive
2014-03-06,0.005384051444254245,-0.024496153550215838,-0.026634548920201784,0.0,0.0,0.0283013922902422,0.0,0.0,0.0,0.0,0.0,0.0010842840188174385,0.00091397762556511,0.0037720207649767357,-0.0005082012164062677,0.008580809147130664,0.0017184082710690607,-0.0013401495979498135,-0.0018462134426524557,0.0011082037944825096,0.023038134405400257,0.0014723389923649854,17507.79986333,630.4049122797834,657.0786100112614,7.844408445083105,37.4071565146,452.0,0.1092839999999999,636.66839508745,613.6189384022528,641.5017360891071,728.4541576571842,-14.457621161261727,57.22911490442309,55.23869221408376,-11.601522756397117,24.834988333022217,0.9827575407230342,59.86057002586704,-10.975702171980082,-19.761969776649323,-0.3975642869098017,70527.0,195770.0,110191.0,33163.98813,positive,positive
2014-03-07,-0.035984188180059995,-0.003631198020892512,-0.16282837394585792,0.0,0.0,-0.0457826609373323,0.0,0.0,0.0,0.0,0.0,0.010043366453523772,0.0031757291935670118,0.0018773769006881214,0.009385324581924426,-0.010061386459479515,0.0005380892952353555,-0.003655605047894084,-0.006454392464282366,-0.026607113111986602,-0.00703732449907668,0.00646852676257792,38709.43793777,625.1581770630333,656.375260290651,7.740099381714613,45.6733684622,435.813253012,0.1087516071428571,653.05661405255,613.6189384022528,641.8878043056548,726.5685704721636,-12.523056893928356,54.87131726447854,49.121324192742506,10.550733221544078,19.31368247245367,0.7649316690304561,59.210774489799306,-9.578330451716237,-23.983706104173365,-5.404988411643252,72345.0,180961.0,104226.0,31592.75952,positive,positive
2014-03-08,-0.027531932047780816,-0.10584566061507261,0.046139891281982814,0.0,0.0,-0.05322891987273315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20685.04786165,620.0649149756333,654.8431144677169,7.625204747853057,45.6733684622,435.813253012,0.1087516071428571,654.2435906607,613.6189384022528,636.2472931772699,724.3355528995995,-11.618537403636537,52.81732534652906,47.596696316775144,15.5736360450735,7.359860522345466,0.7106732152173207,57.083912522822025,-8.877542239594831,-25.117599558860693,-1.50288218446466,64590.0,171369.0,100085.0,31833.6275,neutral,positive
2014-03-09,0.019374746206568316,-0.04547178794475548,-0.00934003537670991,0.0,0.0,0.05218721384126135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17424.370897099998,617.6000343425833,653.9763690696452,7.528196026633784,45.6733684622,435.813253012,0.1087516071428571,646.8857011166,613.6189384022528,636.5231400539299,722.4177348975699,-9.365577262768284,50.722559537331044,50.68390456588804,13.470425133308936,10.886660129292704,0.8205407762375735,58.34700448715404,-7.382853268396375,-22.994007872533174,2.796434983425744,62161.0,173511.0,93170.0,34437.15295,neutral,positive
2014-03-10,-0.0048329685856521865,0.07713170987265627,0.024012452614741164,0.0,0.0,0.001124424378410982,0.0,0.0,0.0,0.0,0.0,-0.014232784738139603,-0.0012262007370974493,-0.002069020451950787,0.0011242388507015644,0.0024662199300580223,-0.00046324630950589363,-0.00040819410537340506,-0.0015311688858026251,-0.02993377616758852,0.006378465966671021,-0.0011683540723591568,24941.34494762,615.3976577509001,653.0017106344797,7.437288228089112,37.194428507,475.7315436242,0.1071544285714285,641.0691343207,613.6189384022528,635.6807170855366,720.4743972327606,-8.237763451401293,48.715094821339775,49.04412677263743,13.155094589191208,15.194890671402147,0.7621843673975204,52.34649213867389,-6.600277453651159,-24.11312893282419,-1.4639545940773324,70884.0,208065.0,93150.0,28137.21864,neutral,positive
2014-03-11,-0.014766228050172026,-0.022729558290420004,-0.1882228780413443,0.0,0.0,-0.01360827685964161,0.0,0.0,0.0,0.0,0.0,-0.010779311092697141,-0.002039645943401336,-0.004106888543013332,1.3828915462088531e-05,0.003801979642968689,-0.005082138985368356,-0.006289206860833341,-0.00044553315860096365,-0.018548014529221835,0.04225354855336283,-0.006727185155763982,12839.73745475,612.8385798654,651.6179268734074,7.346915217046486,35.6191965167,364.0,0.1066220357142857,632.66621202955,613.6189384022528,631.9985259011911,718.368018030557,-7.115799770684589,47.07098162920891,49.3865327739894,9.79587140536762,12.829418409185928,0.6985104443343279,53.734267005632546,-5.864180771452636,-23.89583243451786,0.2859334975387817,76204.0,190763.0,96924.0,32243.54438,positive,positive
2014-03-12,0.024162423133237798,-0.03018569324011544,0.2605075977023805,0.0,0.0,0.0763061036222652,0.0,0.0,0.0,0.0,0.0,-0.02039389123657731,-0.000261001758216417,-0.000683123423285692,-0.00149667992575786,0.017675491146008193,0.0003051708783912144,0.003747254460185312,0.0038506511238953767,0.030203497442967686,-0.022297291854588286,-0.0005888848740334129,20070.70205576,612.9546617498083,651.037872782607,7.280177964714027,36.1487312225,399.0,0.1060896428571428,632.0795874841999,613.6189384022528,634.5746232714607,716.6396400081711,-6.0938425305711235,45.34409545736437,49.5428121798132,11.342045824485353,12.993838515463265,0.7059420142320282,52.3492715334433,-5.211524998844936,-23.802828861333992,0.12213101412710259,76339.0,203507.0,107956.0,34451.42351,positive,positive
