Date,polarity_score,sentiment_score
2015-06-23,0.325,1.0
2015-06-27,0.19583333333333336,1.0
2015-06-28,0.305952380952381,1.0
2015-06-29,-0.03333333333333333,-1.0
2015-07-06,0.0,0.0
2015-07-17,0.0,0.0
2015-07-18,0.0,0.0
2015-07-27,0.0,0.0
2015-07-28,0.008333333333333331,1.0
2015-07-30,0.3,1.0
2015-07-31,0.0,0.0
2015-08-06,0.0,0.0
2015-08-08,0.0,0.0
2015-08-16,1.0,1.0
2015-08-17,0.0,0.0
2015-08-23,0.17700000000000002,1.0
2015-09-02,0.1035,1.0
2015-09-12,0.024999999999999994,1.0
2015-09-13,0.2340909090909091,1.0
2015-09-14,0.18333333333333335,1.0
2015-09-24,0.2583333333333333,1.0
2015-09-25,0.55,1.0
2015-09-27,0.4,1.0
2015-09-29,0.08409090909090909,1.0
2015-09-30,0.16666666666666666,1.0
2015-10-02,0.25,1.0
2015-10-03,0.0,0.0
2015-10-09,-0.125,-1.0
2015-10-10,0.16999999999999998,1.0
2015-10-11,0.0,0.0
2015-10-14,0.0,0.0
2015-10-15,0.5,1.0
2015-10-17,0.4,1.0
2015-10-19,0.09999999999999999,1.0
2015-10-21,0.0,0.0
2015-10-22,0.0,0.0
2015-10-24,0.058712121212121215,1.0
2015-10-25,0.03666666666666667,1.0
2015-10-26,0.31875,1.0
2015-10-27,0.1,1.0
2015-10-29,-0.05,-1.0
2015-10-30,0.55,1.0
2015-11-01,0.0,0.0
2015-11-02,0.0,0.0
2015-11-04,0.0,0.0
2015-11-08,0.0,0.0
2015-11-20,0.07416666666666667,1.0
2015-11-24,0.0,0.0
2015-12-02,0.0,0.0
2015-12-03,0.7,1.0
2015-12-04,0.75,1.0
2015-12-06,1.0,1.0
2015-12-09,0.1,1.0
2015-12-10,0.125,1.0
2015-12-11,0.0,0.0
2015-12-17,0.0,0.0
2015-12-18,0.0,0.0
2015-12-19,0.13541666666666666,1.0
2015-12-20,0.475,1.0
2015-12-21,0.0,0.0
2015-12-22,0.1481818181818182,1.0
2016-01-01,0.1,1.0
2016-01-02,0.2,1.0
2016-01-10,0.0,0.0
2016-01-11,0.050000000000000044,1.0
2016-01-12,0.08,1.0
2016-01-16,0.425,1.0
2016-01-17,0.0,0.0
2016-01-18,0.1,1.0
2016-01-19,0.4,1.0
2016-01-20,0.0,0.0
2016-01-23,0.5,1.0
2016-02-03,-0.016666666666666677,-1.0
2016-02-05,-0.4,-1.0
2016-02-10,0.25,1.0
2016-02-11,0.0,0.0
2016-02-16,0.25,1.0
2016-02-17,0.0,0.0
2016-02-18,0.33645833333333336,1.0
2016-02-19,0.075,1.0
2016-02-20,0.0,0.0
2016-02-21,0.7,1.0
2016-02-22,0.15761904761904763,1.0
2016-02-23,0.0,0.0
2016-02-24,0.075,1.0
2016-02-27,0.321875,1.0
2016-02-28,0.33666666666666667,1.0
2016-02-29,-0.09375,-1.0
2016-03-01,0.22857142857142856,1.0
2016-03-02,0.0,0.0
2016-03-04,0.0,0.0
2016-03-05,0.1645833333333333,1.0
2016-03-06,0.254375,1.0
2016-03-09,0.0,0.0
2016-03-18,0.25,1.0
2016-03-19,0.1,1.0
2016-03-20,0.0,0.0
2016-03-30,0.0,0.0
2016-03-31,0.0,0.0
2016-04-01,0.0,0.0
2016-04-02,0.0,0.0
2016-04-03,0.052000000000000005,1.0
2016-04-04,0.0,0.0
2016-04-05,0.0,0.0
2016-04-06,0.0,0.0
2016-04-07,0.07777777777777778,1.0
2016-04-08,0.0,0.0
2016-04-09,0.1,1.0
2016-04-10,0.2375,1.0
2016-04-11,0.5,1.0
2016-04-14,0.8,1.0
2016-04-17,0.25,1.0
2016-04-18,0.25,1.0
2016-04-20,0.4,1.0
2016-04-24,0.3333333333333333,1.0
2016-04-27,0.0,0.0
2016-04-29,0.15,1.0
2016-04-30,0.0,0.0
2016-05-01,0.1,1.0
2016-05-02,0.2814814814814815,1.0
2016-05-05,0.05,1.0
2016-05-06,0.0,0.0
2016-05-07,0.19404761904761902,1.0
2016-05-10,0.0,0.0
2016-05-12,0.0,0.0
2016-05-14,0.584375,1.0
2016-05-15,-0.2,-1.0
2016-05-16,0.024999999999999998,1.0
2016-05-17,0.19999999999999998,1.0
2016-05-18,0.0,0.0
2016-05-19,0.8,1.0
2016-05-22,0.2,1.0
2016-05-25,0.65,1.0
2016-05-27,0.049999999999999996,1.0
2016-05-28,0.21666666666666667,1.0
2016-05-29,0.7,1.0
2016-05-30,-0.5,-1.0
2016-06-01,0.7,1.0
2016-06-02,0.0,0.0
2016-06-03,0.28409090909090906,1.0
2016-06-04,0.18541666666666667,1.0
2016-06-05,0.28125,1.0
2016-06-06,0.16,1.0
2016-06-07,0.125,1.0
2016-06-08,0.0,0.0
2016-06-09,0.0,0.0
2016-06-10,0.3,1.0
2016-06-11,0.12499999999999997,1.0
2016-06-12,0.05,1.0
2016-06-13,0.16,1.0
2016-06-15,0.16833333333333333,1.0
2016-06-17,0.125,1.0
2016-06-19,0.0,0.0
2016-06-20,0.65,1.0
2016-06-22,0.0,0.0
2016-06-27,0.25,1.0
2016-06-28,0.475,1.0
2016-06-29,0.125,1.0
2016-06-30,-0.5750000000000001,-1.0
2016-07-05,-0.125,-1.0
2016-07-07,0.0,0.0
2016-07-08,0.36249999999999993,1.0
2016-07-09,0.171875,1.0
2016-07-10,0.033333333333333326,1.0
2016-07-11,0.0,0.0
2016-07-12,0.0,0.0
2016-07-13,0.2857142857142857,1.0
2016-07-14,0.125,1.0
2016-07-15,0.0,0.0
2016-07-16,0.21428571428571427,1.0
2016-07-17,0.2,1.0
2016-07-18,0.2875,1.0
2016-07-19,0.016666666666666663,1.0
2016-07-20,0.0,0.0
2016-07-21,0.016666666666666677,1.0
2016-07-22,0.0,0.0
2016-07-23,0.0125,1.0
2016-07-25,0.0,0.0
2016-07-26,0.0,0.0
2016-07-27,0.23333333333333334,1.0
2016-07-28,0.7,1.0
2016-07-29,0.06818181818181818,1.0
2016-07-30,0.14333333333333334,1.0
2016-07-31,0.0,0.0
2016-08-01,0.0,0.0
2016-08-07,0.0,0.0
2016-08-09,0.3,1.0
2016-08-10,0.0,0.0
2016-08-11,0.27499999999999997,1.0
2016-08-14,0.0,0.0
2016-08-15,0.0,0.0
2016-08-22,0.0,0.0
2016-08-23,0.0,0.0
2016-08-28,0.2,1.0
2016-08-30,0.23,1.0
2016-08-31,0.03749999999999999,1.0
2016-09-01,0.06666666666666667,1.0
2016-09-02,0.15416666666666667,1.0
2016-09-09,0.06111111111111111,1.0
2016-09-10,-0.5,-1.0
2016-09-13,0.19318181818181818,1.0
2016-09-14,0.0,0.0
2016-09-16,0.0,0.0
2016-09-17,0.26785714285714285,1.0
2016-09-18,0.0,0.0
2016-09-19,0.25,1.0
2016-09-21,0.057291666666666664,1.0
2016-09-22,0.06818181818181818,1.0
2016-09-24,0.7,1.0
2016-09-26,0.0,0.0
2016-09-27,0.2,1.0
2016-09-28,0.06818181818181818,1.0
